,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1682,7/7/08 16:30,New Palestine,IN,USA,Other,aboout 45 mins,I couldn't believe what we were seeing in daylight. It was a large metallic object that just hovered for over 30 minutes,8/12/08,
1683,7/6/08 23:00,New Albany,IN,USA,Fireball,2 Mins,Fire in the sky over Indiana,8/12/08,
1684,7/4/08 23:35,Fort Wayne,IN,USA,Fireball,30 sec,2 wierd objects appeared in sky- floating and disappeared into city skylights with in 1 min of each other.,7/5/08,
1685,7/4/08 23:00,Indianapolis,IN,USA,Other,5 minutes,"silent, V shaped object with reddish-orange glimmering light at the bottom of the V moving NE to SW.",8/12/08,
1686,7/4/08 21:52,Highland,IN,USA,Oval,1-2 mts.,4th of July UFO,8/12/08,
1687,7/4/08 21:30,Mackey,IN,USA,Fireball,1.5 minutes,Glowing orange craft seen over Macky Indiana. 7-4-08.,7/5/08,
1688,7/4/08 12:00,Granger/Mishawaka,IN,USA,Changing,3 min.,it kept blinking and turning off it was on july 4th so it might of been a firework....,4/13/10,
1689,7/3/08 23:50,Elkhart,IN,USA,Oval,2 min,Craft with a steady orange light moved to the SSE before disappearing,7/5/08,
1690,7/3/08 21:00,Schererville,IN,USA,Circle,5 MINTUTES,POSSIBLE UFO SIGHTING DURING FIRE WORK SHOW,7/5/08,
1691,7/1/08 01:00,Logansport,IN,USA,Sphere,1 minute,Sphere shaped UFO / orange/red glow underneath over logansport IN,7/5/08,
1692,6/23/08 23:40,Seymour,IN,USA,Triangle,8-10mins,Three objects in sky above Seymour,7/5/08,
1693,6/21/08 11:00,Liberty,IN,USA,Fireball,1-2 minutes,"Liberty, Indiana 11:00 p.m. Orange fireball, low, heading south to north then turning to the west and disappearing from sight.",7/5/08,
1694,6/17/08 22:00,Osceola,IN,USA,Oval,2 minutes,"Red-Orange lighted oval with haze around it moving slowly across treetops, then speeding up, no sound.",7/5/08,
1695,6/16/08 21:30,Greenwood,IN,USA,Sphere,few min,five bright lights vanishing and reappearing moving different directions,8/12/08,
1696,6/14/08 20:15,Batesville,IN,USA,Circle,30 minutes,"Huge round black rimmed circle appeared in sky over Int 74 near Batesville, IN on 6/14/08",8/12/08,
1697,6/14/08 02:30,Munster,IN,USA,Sphere,2 min,very bright light jumped around before turning dark maroon an gone,7/5/08,
1698,6/8/08 19:00,Gary,IN,USA,Other,5-7 min,diamondlike shaped object,7/5/08,
1699,5/31/08 21:40,Newburgh,IN,USA,Light,5 minutes,Five or more people saw a string of bright red lights hoving in the sky that disappeared,6/12/08,
1700,5/24/08 00:15,Newburgh,IN,USA,Light,2 mins,Two circular lights about the size of the moon,6/12/08,
1701,5/21/08 23:00,South Bend,IN,USA,Triangle,1 minute,"I was driving home from work headed North on US 933 when to the east of me I thought I saw an airplane, but then realized it wasn't beh",6/12/08,
1702,5/6/08 23:00,Goshen,IN,USA,Oval,4 minutes,A few orange flying ovals appear for four minutes after a fireworks show.  500 Lights On Object0: Yes,8/12/08,
1703,4/22/08 02:00,Anderson,IN,USA,Other,2 minutes,"multy colored light over anderson,indiana",6/12/08,
1704,4/20/08 08:00,Schererville,IN,USA,Triangle,5 maybe 8 min,objects i've never seen before.,6/12/08,
1705,4/17/08 22:10,Noblesville,IN,USA,Triangle,3 minutes,"V shaped objects seen in the night sky over central Indiana, USA",6/12/08,
1706,4/16/08 23:59,Butler,IN,USA,Light,2 mins,white light traveling fast from south to north then disappearing,6/12/08,
1707,4/16/08 23:30,Kokomo,IN,USA,Light,15-30 seconds,"Ther was 7 to 9 very bright objects that came from the West sky, stopped, then jetted off to the North.",4/17/08,
1708,4/16/08 23:30,Kokomo,IN,USA,,Seconds,"Woman reports seeing object strike the ground; police cruiser nearby, the occupant of which apparently witnessed the same event.",4/17/08,
1709,4/16/08 22:30,Kokomo,IN,USA,,10 seconds,no ufo's in Kokomo.,6/12/08,
1710,4/16/08 22:30,Kokomo,IN,USA,Light,15-30 seconds,"Ther was 7 to 9 very bright objects that came from the West sky, stopped, then jetted off to the North.",6/12/08,
1711,4/16/08 22:27,Kokomo,IN,USA,Formation,1 minute,"Bright Yellow lights moving in unison, and then dropping straight down.",6/12/08,
1712,4/16/08 22:27,Kokomo,IN,USA,Formation,2 minutes,"4 or 5 yellow lights in the sky followed a loud explosion noise. They moved in perfect unison, if one went to the left, they all moved.",4/17/08,
1713,4/16/08 22:25,Kokomo,IN,USA,Unknown,,Kokomo Indiana Boom/UFO?,6/12/08,
1714,4/16/08 22:10,Noblesville,IN,USA,Triangle,3 minutes,"V shaped objects seen in the night sky over central Indiana, USA",6/12/08,
1715,4/16/08 10:37,Westfield,IN,USA,Cigar,3 Minutes,"A huge Object with about 22 lights rotating counter clock wise moving, hovering, and then vanishing North of Hamilton County Indiana!!!",6/12/08,
