,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
0,2/27/23 21:55,Whitehorse,YK,Canada,Circle,12 mins,170 degrees south from location. NUFORC Note: Jupiter and Venus,3/6/23,Yes
1,3/29/22 05:50,Tagish,YK,Canada,,3 minutes,A constant slow moving globe of light that moved from the south east to the north east,4/22/22,
2,10/2/02 22:50,Yukon (Canada),YK,Canada,Unknown,6 -8 seconds,Movement of object was very unusual looking and moved with great speed,10/15/02,
3,9/11/01 22:30,Yukon (Canada),YK,Canada,Teardrop,2 hours,it was teardrop shaped with many bright lights.,5/14/02,
4,11/18/00 19:30,Whitehorse (Canada),YK,Canada,Light,1.5 to 2 minutes,Three points of white light moving in a trianglular formation.,12/2/00,
5,9/10/00 23:00,Yukon (Canada),YK,Canada,,35min,"While in the Yukon close to the NWT border in September I took many pictures of the Northern lights, I just started looking at them in",12/2/00,
6,5/20/00 21:50,Yukon (Canada),YK,Canada,Circle,2 -3 minutes,"My husband and I was walking outside and we looked up to stargaze, and we noticed a yellowish-glowing light moving out of the Northwest",6/21/00,
7,5/15/85 02:00,Watson Lake (Canada),YK,Canada,Disk,10 min.,"Prof. trucker sees 150' disc w/ ""fluorescent orange"" overtake him, stop. He shines light on it, calls w/ CB. Obj. rose, disappeared.",9/6/02,
