,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
91,1/9/13 03:38,Beaverdam (Canada),NB,Canada,Oval,,Jumped up out of bed like I was woke up or startled some how. It was 3:38 am and bright out which is odd I looked outside and this ligh,2/4/13,
92,11/10/12 21:00,Moncton (Canada),NB,Canada,Circle,5 minutes,Small silent orange ball travelled across sky,11/19/12,
93,10/18/12 09:00,Gagetown (Canada),NB,Canada,Oval,5 minutes,"Oval shaped, orange glow, hovering over the Gagetown Ferry route. Eventually shrunk to a pin hole of light and disappeared. No noise.",10/30/12,
94,9/1/12 02:20,Saint John (Canada),NB,Canada,Oval,5 minutes,"1 Orange orb over river valley outside Saint John, NB, Canada silent,hovering",9/24/12,
95,8/14/12 01:05,Fredericton (Canada),NB,Canada,Formation,30 seconds,Laying on dock watching stars and three triangular object went out of a cloud . One went in one direction the othe two stayed together,8/19/12,
96,8/5/12 00:00,Moncton (Canada),NB,Canada,Fireball,,Red Fireball looking object in the sky,9/24/12,
97,6/17/12 22:30,Mirimichi (Canada),NB,Canada,Changing,everynight from june18-23,"Blue,red and bright white lights appearing in the Miramichi, New Brunswick sky for a solid week this june 2012",7/4/12,
98,6/16/12 22:45,Rusagonis (Canada),NB,Canada,Fireball,5 follow minutes,Strange orange glows in over Fredericton.,6/20/12,
99,6/2/12 02:25,Miramichi (Canada),NB,Canada,Cylinder,1 minute,Advent amateur astronomer witnessed phenomenon,6/5/12,
100,5/12/12 23:20,Waasis (Canada),NB,Canada,Changing,5 min,Lights in the sky,5/13/12,
101,3/3/12 23:00,St. John (Canada),NB,Canada,Formation,10 min,"We were driving home just past Spruce Lake area when we noticed the light to the left of the road just below plane height, then by the",3/13/12,
102,2/6/12 17:30,Saint-John (Canada),NB,Canada,Circle,2 minutes,"Headlights in the sky in millidgeville , this was not a circular airplane",2/10/12,
103,1/27/12 14:23,Richibucto (Canada),NB,Canada,Disk,2-3 minutes,"Low hovering ufo in richibucto, new brunswick, canada",2/3/12,
104,11/6/11 19:10,Moncton (Canada),NB,Canada,Light,1 minute,2 red fireballs,12/12/11,
105,9/15/11 19:50,Moncton (Canada),NB,Canada,Fireball,"Greater than 10 minutes,",Fire like light round with undefined border seen through cloud cover at 19:50 15 Sep 11,10/10/11,
106,8/31/11 22:15,St. Andrews (Canada),NB,Canada,Teardrop,30 seconds,One bright yellow/orange teardropped shaped object floating/bouncing lightly for 30 seconds until it disappeared,10/10/11,
107,8/31/11 21:15,Rothesay (Canada),NB,Canada,Light,90 seconds,brith light moving fast.,10/10/11,
108,8/29/11 17:15,Saint Andrews (Canada),NB,Canada,Light,2-3 minutes,"Possible UFO siting over the St. Croix River during Hurricane Irene in St.Andrews, New Brunswick.",10/10/11,
109,8/14/11 10:00,Grand Bay-Westfield (Canada),NB,Canada,Light,2 Minutes,Light over house,8/21/11,
110,8/8/11 21:00,Miramichi (Canada),NB,Canada,Fireball,5 to 6 minutes,"saw orange glowing flying very low and slow,changed direction and climbed out of sight",10/10/11,
111,6/2/11 18:00,St. Andrews (Canada),NB,Canada,Sphere,2 min,UFO Objects Found,10/10/11,
112,4/22/11 21:30,Hampton (Canada),NB,Canada,Light,3 min,Bright light NE of Hampton elavation 40 degrees heading E rising then north.,5/2/11,
113,2/4/11 19:00,Saint John (Canada),NB,Canada,Light,10 minutes,Multiple amber colored lights in the night sky over Saint John,2/8/11,
114,1/1/11 22:00,Miramich (Canada),NB,Canada,Light,,"I was drawn outside by the sound of fireworks, and thought it would be a good idea to bring the dog to do his buisness...As I watched t",1/5/11,
115,1/1/11 00:20,Saint John (Canada),NB,Canada,Circle,3 MIN,TWO ORANGE CIRCLES SEEN AND PICTURES OF THIRD CIRCLE ALL MOVING AWAY,1/5/11,
116,12/8/10 00:00,Fredericton (Canada),NB,Canada,Disk,1 hr,((HOAX??)) multiple object sightings,7/4/11,
117,9/18/10 11:00,Dieppe (Canada),NB,Canada,Light,2 minutes,Bright light grew larger and brighter.,11/21/10,
118,9/2/10 22:30,St. Andrews (Canada),NB,Canada,Changing,2-3 min,"Bright orange object enters atmosphere, flies south, stops, than fades to nothing",11/21/10,
119,8/23/10 22:10,Tracadie Sheila (Canada),NB,Canada,Triangle,4 minutes,"Bright orange triangle object moving over treetops, on a clear full moon night.",8/24/10,
120,6/26/10 22:55,Saint John (Canada),NB,Canada,Orb,4 minutes,Strange sphere passing through night sky,7/28/10,
