,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
810,12/31/12 22:15,Boise,ID,USA,Fireball,3 minutes,Orange objects that looked like fireballs sighted in Boise then disappear.,2/4/13,
811,12/31/12 20:53,Idaho Falls,ID,USA,Light,3 minutes,6-7 Balls of orange lights.,2/4/13,
812,12/31/12 20:00,Idaho Falls,ID,USA,Unknown,5 minutes,5-6 Shapeless floating lights.,11/11/13,
813,12/28/12 17:00,Lewiston,ID,USA,Circle,5 minutes,Large floating object spotlighting house and shed.,2/4/13,
814,12/24/12 21:00,Boise,ID,USA,Light,15 minutes,Red light over Boise dropping other red lights out of it toward the ground,2/4/13,
815,12/8/12 17:45,Blackfoot,ID,USA,Light,5 minutes,"Saw orange glowing balls in the sky, created a formation and disappeared.  500 Lights On Object0: Yes",12/20/12,
816,12/8/12 17:45,Blackfoot,ID,USA,Circle,90 seconds,10 bright lights in pairs sitting motionless partially obscured by clouds in what looked like a formation lasting 90 seconds.,12/20/12,
817,11/21/12 01:30,Boise,ID,USA,Oval,10 minutes,"Sun colored shape with red ring see over Boise, ID.",12/20/12,
818,11/14/12 20:30,Hayden,ID,USA,Circle,10 minutes,Red orange circle flares for about 10 minutes.,11/19/12,
819,11/10/12 05:39,Nampa,ID,USA,Changing,still seeing them,Bright multi colored orbs/UFO'S.,11/19/12,
820,11/6/12 23:15,Twin Falls,ID,USA,Sphere,1 minute,Orange sphere.,11/19/12,
821,11/6/12 19:30,Kamiah,ID,USA,Unknown,2 minutes,"A formation of 5 air crafts with rapid blinking red or green lights, one per vehicle flew overhead, very rapidly, no other lights.",11/19/12,
822,11/5/12 23:00,Boise,ID,USA,Other,2.5 seconds,"Supersonic, silent aircraft with multiple lights, and one extremely bright white flashing light.",11/19/12,
823,11/2/12 22:00,Centerville,ID,USA,Unknown,15 minutes,Nightime sighting of craft making impossible movements for any sort of airplane,11/19/12,
824,10/15/12 01:00,Boise,ID,USA,Orb,5 minutes,2 orbs of light over eighth street foot hills.,10/30/12,
825,10/5/12 09:30,Idaho Falls,ID,USA,Sphere,10 minutes,"In the sky West of Idaho Falls flying objects moving East slowly then rapidly to the South. Red orange in color, hundreds of objects.",10/30/12,
826,10/2/12 22:00,Eden,ID,USA,Light,>1hour,"Red, white, and blue flickering object in the sky, like a cop car.",10/30/12,
827,9/15/12 21:00,Meridian,ID,USA,Egg,15-20 minutes,A fluxuating flaming orb moving across the sky.,9/24/12,
828,8/26/12 00:00,Nampa (Lionshead Campgrounds),ID,USA,Light,3 seconds,3 second green flaming ball of light over our heads on beach.,9/24/12,
829,8/11/12 23:40,Kuna,ID,USA,Circle,10 min,Bright yellowish orange balls pulsating. 3 than 4 than 6 to 8 circles flashing lighting Night sky. After they faded out alot of helicop,8/19/12,
830,8/8/12 20:00,Boise (near),ID,USA,Cylinder,,"Rod/Cylindrical object photographed near Boise, ID.",8/19/12,
831,8/7/12 21:58,Meridian,ID,USA,Other,5 minutes,Shape changing object slowly rotating clockwise with tentacle like arms with bright orange light on one side.,8/19/12,
832,8/6/12 04:00,Moscow,ID,USA,Light,5 minutes,Fast moving light overhead various days and disappears and changes direction.,8/19/12,
833,8/1/12 02:00,"Idaho Panhandle (near Wolf Lodge, MT)",ID,USA,Triangle,everynight,Star like orbs form triangle in sky and appear to bounce up and down and shift from side to side.((NUFORC Notes: Possible stars? PD)),10/30/12,
834,8/1/12 00:45,Twin Falls,ID,USA,Circle,1 min,Two red glowing circle lights in a fog,8/19/12,
835,7/29/12 23:30,Coeur d'Alene,ID,USA,Circle,1 minute,Large Orange Red Circle,8/5/12,
836,7/6/12 22:45,Coeur d'Alene,ID,USA,Light,2-3 minutes,"Five bright orange glowing lights, 3 in trianglular formation with 2 to the right of the triangle that faded out.",8/5/12,
837,7/6/12 10:45,Coeur d'Alene,ID,USA,Triangle,5-8 minutes,Orange triangle lights seen spinning slowly across the sky.,8/5/12,
