,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
680,6/6/16 10:30,Cedarcreek,MO,USA,Cigar,~5 minutes,"Spindle-shaped object with no wings, no sound, no vapor trail seen in clear sky in daylight.",6/10/16,
681,5/29/16 20:40,Troy,MO,USA,Cross,4 minutes,Black cross-shaped tumbling object. No lights or sound.,6/1/16,
682,5/24/16 22:00,Warsaw,MO,USA,Other,10 seconds,6 bright yellowish lights.,5/26/16,
683,5/24/16 21:15,Camdenton,MO,USA,Chevron,10-15 seconds,Yellowish lights across the sky with a rapid departure witnessed by husband and wife central MO. ((Witness is former law enforcement.)),6/1/16,
684,5/23/16 21:30,Camdenton,MO,USA,Light,30 seconds,"In the northwest sky a yellow light appeared then a second, then a third between the first two",6/16/16,
685,5/11/16 07:00,Lee's Summit,MO,USA,Light,1 second,Witnessed ball of light in the distance start from ground level fire across the sky at 45 degree angle and disappear.,5/20/16,
686,5/9/16 04:17,Montreal,MO,USA,Unknown,Not sure,2 more sightings of the pair of triple vertical lights,5/20/16,
687,5/1/16 02:01,Montreal,MO,USA,Unknown,,2 sets of 3 vertical lights in the woods,5/6/16,
688,5/1/16 01:00,Independence,MO,USA,Oval,2-3 minutes,Three times the size of a normal NGB-2 bomber.,5/26/16,
689,4/23/16 05:00,Kansas City,MO,USA,Light,30 seconds,Strange lights that fly in unison blink out when observed.,4/29/16,
690,4/23/16 02:28,Mount Vernon,MO,USA,Circle,30 seconds,Very large bright green ball of light zoomed across the sky with no trail of any sort and ring of gold light around it.,4/29/16,
691,4/22/16 17:50,Branson,MO,USA,Other,1 second,The UFO was traveling at lightening speed. It appeared and disappeared in the blink of an eye. Caught it on film. https://www.yout,4/29/16,
692,4/22/16 14:10,Dederick,MO,USA,Changing,~20 minutes,"((HOAX)) We had a close incounter, then heard a really loud noise and saw a UFO.",4/29/16,
693,4/19/16 21:30,Jefferson City,MO,USA,Triangle,3 minutes,6 small triangle shaped objects with 3 amber lights each came from the south and headed west. The lead craft was ahead of the the other,4/29/16,
694,4/16/16 21:00,Dederick,MO,USA,Circle,30-60 minutes,I looked up and saw some stars moving. We then looked over our chicken coop and saw something moving.,4/22/16,
695,4/15/16 22:35,St. Robert,MO,USA,Disk,1 minute,Sat outside in my backyard when a huge bright green glowing discshaped ufo flew right across the house down the street.,4/22/16,
