,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
603,1/16/19 02:00,Portland,OR,USA,Light,,Why am I seeing these flashing lights in this area all the time from ~1-4am flashing lights white/red /blue?((NUFORC Note: Stars? PD)),1/17/19,
604,1/13/19 13:50,Estacada,OR,USA,Cigar,15 minutes,While traveling east on local Rd around 7-5 minutes before 2:PM. Just passing An intersecting rd I believe. I was looking at the moon a,1/24/19,
605,1/12/19 19:15,Paisley,OR,USA,Triangle,<2 minutes,"Very large, oblong triangle UFO, white and red flashing lights, flying fast, with smaller object following. ((anonymous report))",2/1/19,
606,1/4/19 20:38,Hillsboro,OR,USA,Cylinder,10 seconds,I caught a bright white light move ahead above me super fast and it had a bright green neon underneath it. ((anonymous report)),1/11/19,
607,1/4/19 20:20,Stayton,OR,USA,Light,1 minute,"I was driving on the Hwy in between the town's of Jefferson,Oregon and Stayton,Oregon and I just passed through the town of Marion, Ore",1/31/20,
608,1/1/19 22:44,Tigard,OR,USA,Circle,7 secondss,"Circular disc red lights around perimeter, flashed white then red again.",1/11/19,
609,1/1/19 21:30,Dundee,OR,USA,Light,10-15 minutes,Two round red lights in the night sky in Oregon.,1/4/19,
610,1/1/19 10:36,Salem oregon,OR,USA,Circle,South jan-march 2019,I was taking scene pics of clouds to paint and kept seeing a weird ball moving all over in odd directions and took shutter pics as it's,12/23/20,
611,12/19/18 05:30,Pendleton,OR,USA,Light,30 minutes,I was traveling east on I-84 from Hermiston to Pendleton after work. I noticed a bright light that appeared at first to be a very brigh,1/4/19,
612,12/12/18 01:00,Hillsboro,OR,USA,Unknown,1 hour,About 10 aircraft hovering with lights over Hillsboro OR swaying in all directions. ((anonymous report)),12/14/18,
613,12/5/18 05:25,Junction City,OR,USA,Circle,45 minutes,"In W sky over Junction City, we saw a circular shape with lights around it for about 45 mins. Never moved.((NUFORC Note: Venus? PD))",12/6/18,
