,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
2096,6/30/00 22:45,St. Thomas (Canada),ON,Canada,Oval,,I missed the bus when I was going to school so I was riding my bike. When I was about a block away from my house there was this oval s,4/28/01,
2097,6/23/00 13:00,Toronto (Canada),ON,Canada,Oval,Reunion,i saw 1 ufo going slowly arcoss the sky at night time.,12/2/00,
2098,6/22/00 23:59,Toronto (Canada),ON,Canada,Circle,1 minute,two fast moving objects one shoot out of the atmosphere,12/2/00,
2099,6/22/00 02:30,Toronto (Canada),ON,Canada,Circle,15sec,fast moving lights,12/2/00,
2100,6/19/00 22:34,Algonquin Park (Canada),ON,Canada,Fireball,6 Minutes,"2 Bright Lights, hovering in the horizon and then jerk to the right.",12/2/00,
2101,6/18/00 23:45,Hamilton (Canada),ON,Canada,Triangle,15-20 min,Triangular shaped object hovering above train tracks in Ontario,12/2/00,
2102,6/1/00 17:00,Mississauga (Canada),ON,Canada,Light,1 minute,Star starts moving and just takes off.,8/16/16,
2103,5/14/00 11:25,Strathroy (east of) (Canada),ON,Canada,Diamond,5 seconds,"We were driving along the highway and we saw a large, bright, diamond shape object in the sky. The object was falling rapidly on an ang",12/2/00,
2104,4/25/00 22:00,Orangeville (rural)(Canada),ON,Canada,Triangle,30 seconds,"Large, black object, moving silently & very slowly.",9/15/16,
2105,4/23/00 21:30,Scarborough (Toronto) (Canada),ON,Canada,Disk,10 seconds,I was looking west watching a commercial jet fly overhead and noticed three disc shaped objects that formed a triangle move quickly and,12/2/00,
2106,4/20/00 09:30,Longlac (Canada),ON,Canada,Formation,12 minutes,Northwestern ontario sighting while ice fishing!,5/24/05,
2107,4/9/00 21:00,London (Canada),ON,Canada,Oval,,"it was late, and i saw these things in the sky about 300ft over my head and there was no noise at all and no other cars or plains aroun",12/2/00,
2108,3/27/00 21:00,Wellesley (Canada),ON,Canada,Light,ongoing,"unusual night light, has been stationary for an hour, yet has a definite strobing, flashing & changing of colors.",12/2/00,
2109,3/15/00 21:00,Belmont (Canada),ON,Canada,Sphere,10 min.,Glowing orange/red probes appeared to be studying small rural town,11/20/01,
2110,2/29/00 22:00,Windsor (Canada),ON,Canada,Triangle,2-3 MINUTES,"OBSERVED TRIANGULAR FORMATION OF LIGHTS AT EST'D 30,000 FEET TRAVELLING S.E. TO N.W. AT A TREMENDOUS RATE OF SPEED. ASSUME IT WAS A TRI",12/2/00,
2111,2/17/00 20:00,Cornwall (Canada),ON,Canada,Light,ten seconds,Saw a cluster of red lights moving through the sky at high speed with no sound,12/2/00,
2112,2/10/00 21:14,Toronto (Canada),ON,Canada,Triangle,2:oo min,the car died and in the sky was a triangle shape object,12/23/02,
2113,1/14/00 09:23,York Mills/Leslie (over the intersections of) (Canada),ON,Canada,Cigar,5 miutes or so,"Clear blue sky ,temperature -12 C . After leaving our garbage route for morning break,I noticed a bright lightin the sky to the east. F",12/2/00,
2114,1/4/00 05:51,Mono (Town of) (Canada),ON,Canada,Cylinder,10 minutes,Blue glowing cylindrical object very low to the ground moving very slowly across the sky.,11/20/01,
2115,12/31/99 00:30,Sudbury (Canada),ON,Canada,Circle,5 min,"2 bright orange balls of light followed one another in-line across the sky and then stopped and moved up and down vertically, changing",12/2/00,
2116,12/16/99 22:00,Orangeville (Canada),ON,Canada,Oval,lasted 2 hours,about 3 crafts took formation and hovered about 200 meters above ground. The odd glowing object would zip through the sky near the 3 cr,12/2/00,
2117,11/30/99 06:30,Markham (Canada),ON,Canada,Triangle,45 min,Bright triangle shape object,12/2/00,
2118,11/29/99 01:40,Windsor (Canada),ON,Canada,Fireball,3 seconds,Green light moves at high speed across the sky.,12/2/00,
2119,11/28/99 16:30,Mississauga (Canada),ON,Canada,Sphere,1 minute,A bright metallic object that looked like a sphere flew across the sky fairly slow.,12/2/00,
2120,11/20/99 23:00,Sudbury (Canada),ON,Canada,Cylinder,1:30,"Seen a cylinder blue above the Sudbury area for about 1 hours and half, the description is very complicated because of smog night and a",12/2/00,
2121,11/20/99 01:00,Sudbury (Canada),ON,Canada,Sphere,5 mins,IT MADE NO SOUND AT ALL IT JUST MOVED AND FLASH VERY FAST,7/16/03,
2122,11/17/99 17:45,Oakville (Canada),ON,Canada,Triangle,4 MIN,"LOOKING S.W OVER LAKE ONTARIO LARGE TRIANGLE,BRIGHT WHITE/YELLOW LIGHTS AT POINTS.NOT MOVING.AT ARMS LENGHT DISTANCE FULL THUMB APPRX 3",12/2/00,
2123,11/16/99 19:13,Hamilton (43N-80W) (Canada),ON,Canada,Fireball,15 sec,"Large fire-ball being followed by about 12 smaller fire balls, travelling in a ENE direction.",12/2/00,
2124,11/16/99 19:10,Lake Simcoe (50 mi east of) (Canada),ON,Canada,Light,20 seconds,From an Airbus 320 cockpit at 31000 ft. we observed a series of 6 to 7 bright burning stars moving in tandem at a relatively slow speed,12/2/00,
2125,11/16/99 19:10,Toronto (Canada),ON,Canada,,20 sec,Not believed to be a U.F.O. but was definately a very large object breaking up.,12/2/00,
2126,11/16/99 19:05,Burlington (Canada),ON,Canada,Formation,10 seconds,Burlington Ontario 19:05 E.S.T. A line of seven bright green and white lights moving from northwest to southeast,12/2/00,
2127,11/16/99 19:05,Trenton (Canada),ON,Canada,Fireball,while driving...about a c,"Friend's husband witnessed something strange. Thought they were fireballs...leaving ""ashes"" behind. These ""fireballs"" were emitting fir",12/2/00,
2128,11/16/99 19:05,Hudsonville/Ottawa (Canada),ON,Canada,Unknown,30sec,there were at least 6 green lights moving in an easterly direction at exactly 7;05 pm est. the lights were in the same plane and movin,11/17/99,
2129,11/16/99 19:00,London/St. Thomas (Canada),ON,Canada,Fireball,5 sec.,"saw fire balls coming from the west going southeast,the first one was two an a half times larger than the other four which were followi",11/17/99,
2130,11/16/99 18:09,Newmarket (Canada),ON,Canada,Fireball,30.sec,3 Blue green balls of light with streaming orange yellow tails. Tails resembling sparks.,12/2/00,
2131,11/14/99 01:00,Milton (Canada),ON,Canada,Triangle,2 minutes,"ok... this is my first online description of my experience.. I was driving home like normal, straight up Steeles Ave., Milton Area, ri",5/24/05,
