,Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
81,9/8/12 22:20,Winnipeg (Canada),MB,Canada,Light,2 minutes,Two orange UFOs flying over Winnipeg tonight at 10:20pm.,9/24/12,
82,9/8/12 21:00,Portage la Prairie (Canada),MB,Canada,Circle,2 minutes,"3 orange/red balls ufo,",9/24/12,
83,8/18/12 23:30,Oakbank (Canada),MB,Canada,Circle,5 minutes,Large orange red circle shaped object that vanished in thin air,8/19/12,
84,7/14/12 23:00,Winnipeg (Canada),MB,Canada,Orb,2 minutes,Two bright orange orbs traveling over winnipeg from north east to south west. No sound noted.,8/5/12,
85,7/13/12 22:54,Winnipeg (Canada),MB,Canada,Oval,# 1/2-4 minutes,Orange UFO flying low through south Winnipeg,8/5/12,
86,6/26/12 23:10,Winnipeg (Canada),MB,Canada,Fireball,3 minutes,7 orange orbs traveling silently across the sky - first 2 which disappeared and then followed by 5 more flying in formation.,7/4/12,
87,6/24/12 01:00,Thompson (Canada),MB,Canada,Circle,5 minutes,Big red firey balls. seen multiple times on different occasion. 2 videos on my phone.,7/4/12,
88,6/16/12 23:30,Winnipeg (Canada),MB,Canada,Unknown,5 minutes,"UFO over Winnipeg JUNE 16 2012. ((NUFORC Note: Possible sighting of the ISS, we believe. PD))",6/20/12,
89,5/8/12 21:00,Steinbach (Canada),MB,Canada,Unknown,5 minutes,"Driving home from my daughters house after baby-sitting my grandchildren, I saw something very strange flying very fast in the distanc",5/13/12,
90,4/22/12 22:05,Snow Lake (Canada),MB,Canada,Fireball,45 seconds,"There where two objects. The first one came into veiw, for only a few seconds. The second one was the same shape, and appeared to",5/13/12,
91,3/27/12 21:15,Selkirk (Canada),MB,Canada,Unknown,5-10 seconds,Blue fireball moving at great speed (Canada),5/13/12,
92,3/20/12 22:45,Winnipeg (Canada),MB,Canada,Unknown,5-10 secs,"Orange light cluster, 90 degree directional changes, no change in speed during, burst of white light and gone",5/13/12,
93,3/3/12 23:25,Winnipeg (Canada),MB,Canada,Other,5 minutes+,"Orange-red object, seen by 2 people, Winnipeg, Manitoba, Canada",3/13/12,
94,2/5/12 20:59,Winnipeg (Canada),MB,Canada,Fireball,1 minute,"Fireball in Winnipeg, Manitoba. Febuary 5/12",2/10/12,
